track,artist,lyrics
555,jimmy eat world,"I keep my focus on the simple things
Trying to find some peace along the way
Wish I knew how long I'm supposed to wait
Holding on but just barely
Got the feeling I've been talking to a dead, dead line
There's always a reason to let it change
Is there anyone there listening while you cry, cry, cry?
There's always a reason for the pain
I'm doing the things that I'm told every day, every day, every day
Then why does it feel like I'm moving in place, in place, in place?
Never had anything to prove
But never was anyone like you
All you fought through, all you had to face
Made you stronger, unafraid
Got the feeling I've been talking to a dead, dead line
There's always a reason to let it change
Is there anyone there listening while you cry, cry, cry?
Always a reason for the pain
I'm doing the things that I'm told every day, every day, every day
Then why does it feel like I'm moving in place, in place, in place?
I gotta believe that you're there when I sing, when I sing, when I sing
'Cause if you're not real, I'm losing my head, in my head, in my head
Got the feeling I've been talking to a dead, dead line
There's always a reason to let it change
Is there anyone there listening while you cry, cry, cry?
Always a reason for the pain
I'm doing the things I've been told every day, every day, every day
Then why does it feel like I'm moving in place, in place, in place?
I gotta believe that you're there when I sing, when I sing, when I sing
'Cause if you're not real, I'm losing my head, in my head, in my head
I keep my focus on the simple things
Trying to find some peace along the way"
6 minutes,tricky,"Six Minutes I'm on (repeat)
It's a long way from Knowle West to Hollywood
I've never seen a triple beam
From LA to NY I eat pork make 'em scream

Six minutes I'm on
I'm premenstrual I bleed because I'm not a vegetable
Six minutes I'm on
Lies don't suit me I think it's my duty to say I don't like guns
And in them comes spoil the rude boys funds
I'm resilian I don't just wanna make a million
And if the radio shows throw low blows
We do this with or without the air play
Like a cycle forget about Michael
I'm gonna take this time out for a promotional click
Durban Poison artist are the smartest
In this industry full of vomit
My voodoo make 'em sick
My voodoo make 'em sick

Now when people got a good thing they want to make it a bigger thing
Bullet proof from the truth
Now it's gone to far
And all the tough guys are dropping like flies
Like old styles and riches and those industry bitches
I hear they're taking over the benches
To be high paid wenches

Forget the champaign at the bar you need A&R
Is this making music or money?
I can't make my mind up
They think they're safe 'cause they're signed up
You're under contracts that brakes those backs
You brag and boast now look-a-here I control my destiny
I control my career

Now when people got a good thing they want to make it a bigger thing
Bullet proof from the truth
Now it's gone too far
And all the tough guys are dropping like flies
Like old styles and riches and those industry bitches
I hear they're taking over the benches
To be high paid wenches"
7.2,high and mighty color,"段々近づくいつものバー
入って左端のカウンター
座った途端に空気変わった
酔いも醒めるような 鮮やかなダリア

色褪せた壁 回るシーリングファン
まるで荒野に咲いた花のような
綺麗な君とはアンバランスだ

赤く染めた頬 濡らす涙
ここじゃ野暮な詮索は無しだ
とりあえず一杯奢ろうか
神の思し召しとやらに乾杯だ

I don't mind, If you feel sad
君の涙はまさにエルドラド
一瞬で一周できる程小さな世界へようこそ

戻りたい 戻れない 枯れそうな心
夏の夜を彩る エルドラド 誘った影が

反らす視線とは裏腹
汗ばんでく手の中(believe yourself, don't be afraid)
触れた指先が熱を増し
歯止めは泡沫消えてく(don't look back, go your way)

理性は侵食され尽くし
覚醒する本能(believe yourself, don't be afraid)
何度も交わる視線と小さく交わす言葉が
上げる心拍数止まらない 戻れない

AとBの選択肢の間で行ったり来たりした
答えはお互いの出方次第で
本能が煩悩求めた
リビドーに基づいた行動に意味が生まれた
下手な火遊びかもしれないが
いわば死も恐れぬユートピア

この熱帯夜以来 燃え上がって冷めない熱が続く
オレンジの満月 見る度 蘇るこの瞬間
Versace クリスタルノワールの香り

罪な夜ほど思い出に変わる
暗い夜に日はくれぬ そうだろ
一瞬で一蹴出来る程小さな世界へようこそ

戻りたい 戻れない 髪の香り 触れた指
悩ましげな瞳さえ
一夜のリビドー？ もう戻れない？

唇淡く紅く色づき 愛しい痛み消えない(believe yourself, don't be afraid)
もう一度貴方を あの日を 願うのは穢らわしいこと？(Don't look back, go your way)
思い出せば全て支配され何もかも美しく(Believe yourself, don't be afraid)
いつかまた傷を宥め合い 偽りでも触れていたい
体中に残された記憶消える前に

瞳を閉じ 噎せ返る 淡い残像
すべて焼き付き 離れそうもない

反らす視線とは裏腹
汗ばんでく手の中(believe yourself, don't be afraid)
触れた指先が熱を増し
歯止めは泡沫消えてく(don't look back, go your way)

理性は侵食され尽くし
覚醒する本能(believe yourself, don't be afraid)
何度も交わる視線と小さく交わす言葉が
上げる心拍数止まらない 戻れない"
9,drake,"Yeah, for the dogs dem, you know
Man, when shit gets like this, man, the whole city
Shit's crazy right now, and shit ain't gon' stop
You know shits gonna get a lot more worse 'fore it get any better
Look, mama hit my phone and said rap's no good
Better than her telling me the check's no good
Now they wanna act like I do no good
Funny 'cause I really did more than I should
I made a decision last night that I would die for it
Just to show the city what it takes to be alive for it
Can't get me on the line so they hang me out to dry for it
You know 40 wants peace but I'm down to cut ties for it
And I can't sleep these days 'less I take one
If they don't have a story these days, they'll make one
Life is always on, man, I never get a break from it
Doesn't matter where I go, I can never get away from it
They give me loyalty and I don't gotta pay for it
Same way, breads gotta break for it
Keeping people fed is my only peace of mind now
And I turn the six upside down, it's a nine now
I made a decision last night that I would die for it
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
All these hand outs, man, it's getting outta hand
I'ma start telling niggas ""Get it how you can""
I got it right now so I'm everybody's friend
If I ever lose I bet we never speak again
I made a decision last night, I'd die for it
Just to show the city what it takes to be alive for it
First place, first place, man, we can't be tied for it
I only drove it five times, paid 1.5 for it, yeah
Keychain go jang-a-lang, I wanna do major things
MJ in every way, I just don't fade away
Six upside down, it's a nine now
Like Mannie, like Stunna, man, shit is big time now
And I made a decision last night that I would die for it
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
(Dying, woo, yeah, yeah, gangstas, gangstas, gangstas)
Make me feel afraid of how I'd been to you
Trust me when I say I thought it all through
Trust me when I say that shit is old moves
God made himself a way from me to you
Tried to kill me but they still want the Views
Tried to kill me but they still want the Views
Tried to kill me but I am very much alive on the six side
Yeah, I said I am very much alive on the six side
I said I am"
a beautiful day,india.arie,"Life is a journey
Not a destination
There are no mistakes
Just chances we've taken
Lay down your regrets 'cause all we have is now

Wake up in the morning
And get out of bed
Start making a mental list in my head
Of all of the things that I am grateful for

Early in the morning
It's the dawn of a new day
New hopes new dreams new ways
I open up my eyes and
I open up my mind and
I wonder how life will surprise me today

Early in the morning
It's the dawn of a new day
New hopes new dreams new ways
I open up my heart and
I'm gonna do my part and
Make this a positively beautiful day

It's a beautiful day
It's a beautiful day
It's a beautiful day

Life is a challenge not a competition
You can still smell the roses and be on a mission
Just take a moment to get in touch with your heart
Sometimes you feel like you've got something to prove
Remind yourself that there's only one you
Just take a moment to give thanks of who you are

Early in the morning
It's the dawn of a new day
New hopes, new dreams, new ways
I open up my eyes and
I open up my mind and
I wonder how life will surprise me today

Early in the morning
It's the dawn of a new day
New hopes, new dreams, new ways
I open up my heart and
I am gonna do my part and
Make this a positively beautiful day

It's a beautiful day
It's a beautiful day

Let's make this a wonderful
Let's make this a powerful
Let's make this a Beautiful Day
It's a Beautiful Day

Life is a journey
Not a destination
There are no mistakes
Just chances we've taken
Lay down your regrets 'cause all we have is now"
a case of you,joni mitchell,"Just before our love got lost, you said
""I am as constant as a northern star,"" and I said
""Constantly in the darkness
Where's that at?
If you want me, I'll be in the bar""
On the back of a cartoon coaster
In the blue TV screen light
I drew a map of Canada
Oh, Canada
With your face sketched on it twice
Oh, you are in my blood like holy wine
You taste so bitter
And so sweet, oh
I could drink a case of you, darling
And I would still be on my feet
Oh, I would still be on my feet
Oh, I am a lonely painter
I live in a box of paints
I'm frightened by the devil
And I'm drawn to those ones that ain't afraid
I remember that time you told me
You said, ""Love is touching souls""
Surely you touched mine, 'cause
Part of you pours out of me
In these lines from time to time
Oh, you're in my blood like holy wine
You taste so bitter
And so sweet, oh
I could drink a case of you, darling
Still I'd be on my feet
I would still be on my feet
I met a woman
She had a mouth like yours
She knew your life
She knew your devils and your deeds
And she said, ""Go to him
Stay with him if you can but be prepared to bleed""
Oh, but you are in my blood, you're my holy wine
You're so bitter
Bitter and so sweet, oh
I could drink a case of you, darling
Still I'd be on my feet
I would still be on my feet
Hmm"
a day,styx,"Woke up in rainy autumn
Morning mist beginning to wane
And the birds of the winged trees
Calling my name

Care less the clouds above me
The wind is gently lifting my hair
Where the rivers of the wind fall light rain
Now stand bare

Listen to the flowing streams
Golden in the shelter of my dreams
Playing a song on the meadow that echoes with love

Walk alone through the garden
The leaves are wet with morning's tear
And the whispering of someone
Is drawing me near

Content to rest awhile
Pondering the motion of time
Over unforgotten memories
Dipped in wine

Listen to the flowing streams
Golden in the shelter of my dreams
Playing a song on the meadow that echoes with love

The god of dusk is falling around me
The night air now restless and dank
Yet the fields are specked with flowers
Few and rank

Moon reflecting off the water
Rippling an image to me
Of the way that it is
And the way that it's going to be

Listen to the flowing streams
Golden in the shelter of my dreams
Playing a song on the meadow that echoes with love"
a dream,cut copy,"You think my life's a dream.
I'm dreaming my life away.

You think my life's a dream.
I'm dreaming my life away.

Run, run in circles, barely running.

You think my life's a dream.
I'm dreaming my life away.

Barely running.

You think my life's a dream.
You think my life's a dream.
You think my life's a dream.
You think my life's a dream."
a forest,carpathian forest,"[The Cure]
Come closer and see
See into the trees
Find the girl
If you can
Come closer and see
See into the dark
Just follow your eyes
Just follow your eyes
I hear her voice
Calling my name
The sound is deep
In the dark
I hear her voice
And start to run
Into the trees
Into the trees
Into the trees
Suddenly I stop
But I know it's too late
I'm lost in a forest
All alone
The girl was never there
It's always the same
I'm running towards nothing
Again and again and again and again"
a house is not a home,the charlatans,"Oh, the simple cost of loving you is a better picture
There's not a sound coming from my voice
You wanna listen to the kids
Banging on their halos, soon to be divorced
And you're a poor young factory boy
Blowing on your trumpet with a home on the back of your horse

Oh, this is a separation
I can't believe it is the end
You know I don't want to talk about it
Go tell it to your friend

I live and I breathe
With feeling for anything I might have tried
At a point where I can touch her
Everyday I wonder what's going on in her heart
I couldn't eat, sleep, find my feet
I think I used a little too much force

Come see me, you can heal me
Turn your head back to the moon
I don't know why you act so quiet
This is a house, this is not a home

I can't do this anymore, I know it's pointless
I could never be yours
Play to your better nature, we can talk about the old days
I can't help it if you think I am odd
Although our separation, it is too easy
I believe it's your loss

Oh, simple cost of needing you
Is a part into the cause
On the street I can feel a sequel
This is a divorce

Kind ladies and kind gentlemen
This is how it is now, this sound is only coming from my voice
You wanna listen to the kids
Banging their halos, soon to be divorced
And I'm poor where I can find fortune
Every day, I wonder what's going on in her heart

Oh, simple cost of needing you
Is a part into the cause
On the street I can feel a sequel
This is a divorce"
a little bit,tristan prettyman,"These days 'round three o'clock
Rain does start to fall
Downpour on the whole damn block
So loud on the brick walls

Don't go making this easy
Don't go making it hard
'Cause when you come around
Eyes so blue
You know I can't ignore, no I can't ignore

You got something I want
Just a little bit
You got something I need
Just a little bit
No matter how hard I try to fight it
You're gonna bring this girl to her knees

'Cause everybody got places to go
And people to see
Everybody got plenty of time
But they don't know how to set it free
So why don't you come back
Come back to me
Baby come on back
Come back to me

You got something I want
Just a little bit
You got something I need
Just a little bit
No matter how hard I try to fight it
You're gonna bring this girl to her knees

Yes, you're gonna bring this girl to her knees
Bringing it up, bring it down to my knees"
a man like me,beulah,"I've been waiting all night long,
I've been waiting to sing your song,
Tonight, you help me,
Just help me find your key.
I run my hands down your neck,
Cross your back to another fret,
I know you're fragile,
You're bound to self destruct

I can see right through your skin,
Your bones are hollow, they're paper thin.
Tonight, you're weightless,
I know the way you feel

So try
Try lifting all your weight
For a man
A man you're grown
And try
Try wasting all your days
On a man
A man like me

Our love is a lot like yours,
It's been crippled by the wars,
We wage, we're hopeless,
We're on the losing side.
We never speak when we're making love,
You never mean it when you come to me,
With your arms stretched,
Defenseless and alone

So try
Try lifting all your weight
For a man
A man you're grown
And try
Try wasting all your days
On a man
A man like me

I taste you on my fingers
And I smell you on my lips
I don't know where you're going
But you're going to slip
Hey honey better save yourself
You're never gonna make it
Hey honey, honey better save yourself
You're never gonna make it

So try
Try lifting all your weight
For a man
A man you're grown
And try
Try wasting all your days
On a man
A man like me"
a million years,alexander,"I love you like grave danger
Like moon shining disguise
Mmm hmm
When I wake up with your makeup
And spread blush cross the sky

Like a meteor crush
I'm gonna tell the world
Been a million years full of tears
But I found my girl

My notion of love devotion
Was a corrosion of mind
Mmm hmm
Then come cupid and now I'm stupid
And I feel it's just fine

Like exploding face
I'm gonna tell the world
Been a million years full of fears
But I found my girl

It's a spun tongue
It's a holy shit
It's a loud cry from the heart
It's a live death
It's a big breath
It's a no more we're apart

Like a rainbow crash
As we bow and swirl
Been a million years full of tears
But I found my girl

Like exploding sun
Let the light unfurl
Been a million years full of fears
But I found my girl"
a night like this,sandra van nieuwland,"From where you are,
you see the smoke start to arise
where they play cards.
And you walk over, softly moving passes the guards.
The stakes are getting higher.
You can feel it in your heart.

He calls you bluff.
He is the ace you never thought he played that much.
And now it's more than all this cards you want to touch.
You never know if winning this could really be enough.
Take a look, beyond the moon you see the stars.
And when you look around,
you know the room by heart.
I have never dreamed it.
Have you ever dreamed a night like this?
I cannot believe it.
I may never see a night like this.
When everything you think is incomplete.
Starts happening when you are cheek to cheek.
Could you ever dream it?
I have never dreamed,
dreamed a night like this.

How many times,
have I been waiting by the door to hear these chimes?
To hear that someone debonair has just arrived.
And opened up to see my world before my eyes.
That silhouette creates an image on the night I can't forget.
It has the scent on something special, I can't rest.
If I resist temptation, oh I know for sure that I will lose the bet.
I walk away and suddenly it seems I'm not alone.
In front of me he stands, I stop, before he goes.

I have never dreamed it.
Have you ever dreamed a night like this?
I cannot believe it.
I may never see a night like this.
When everything you think is incomplete.
Starts happening when you are cheek to cheek.
Could you ever dream it?
I have never dreamed,
dreamed a night like this.
Oooee-oeeee-oeeee-oeeeeh
I have never dreamed it.
Have you ever dreamed a night like this?
I cannot believe it.
I may never see a night like this.
When everything you think is incomplete.
Starts happening when you are cheek to cheek.
Could you ever dream it?
Could you ever dream it?
Could you ever dream it?
Dreamed a night like this"
a night to remember,cyndi lauper,"I look out my window into the pouring rain
I wish I could tell you that I stopped hearing your name
And then I realize every thought of you runs a circle around my heart
I hear your voice haunting me, I feel your touch in the dark

It was a night to remember
All your kisses I still taste
It was a night to remember
Can't forget the look on your face, oh, no

Starlight send a message like a beacon into the night
To tell you I'm lonely when I shut out the light
Because a part of me left with you
So I feel lost inside
Sometimes I look into my mirror
I see you shining through my eyes

It was a night to remember
All your kisses I still taste
It was a night to remember
Can't forget the look on your face
It was a night to remember
All these feelings I can't erase, oh, no

Endless dreams around my shoulders
I cannot free (I cannot free) this restless heart

It was a night to remember
All your kisses I still taste
It was a night to remember
Can't forget the look on your face
It was a night to remember
Not enough time for you to stay, oh, no (oh, no)

Oh, it was a night to remember
All your kisses I still taste
It was a night to remember
Can't forget the look on your face, oh, no
Oh, no"
a reminder,the perishers,"We met at a place
Where people go to get laid
But where no one would ever
Expect to get paid

Once we were just like them
I hope we'll never be again

A reminder
Let this be a reminder
A reminder
Let this be a reminder

Of the nights
When we were on the bend
Looking for some
Kind of casual friend

I thought I needed a girl of each kind
One for the body and one for the mind

A reminder,L
Let this be a reminder
A reminder
Let this be a reminder

Once we were just like them
I hope we'll never be again

A reminder
Let this be a reminder
A reminder
Let this be a reminder
Let this be a reminder
A reminder
Let this be a reminder
Let this be a reminder
A reminder
Let this be a reminder
Let this be a reminder
A reminder
Let this be a reminder"
